YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BMW,0,0,0,178,1699,3075,7291,13120,17095,15772,19310,30071,38116
TESLA,47,26,13,1,718,1472,2497,4755,3366,13164,24779,34865,54664
MERCEDES,0,2,5,7,25,1039,5832,4496,2540,1881,16106,27173,26507
VOLKSWAGEN,0,0,0,30,145,1515,2134,3967,5960,4121,10245,21061,24518
NISSAN,0,640,695,1814,4459,5976,5544,6595,6078,7156,10722,11137,11196
AUDI,0,0,0,0,66,1198,636,933,723,1517,9806,21785,19119
MITSUBISHI,27,124,107,3,5370,11784,9449,7502,8704,6196,3735,2115,1
KIA,0,0,0,0,20,129,395,731,1845,1946,10134,18430,20684
VOLVO,0,0,0,75,163,152,1884,2236,2265,2971,7902,15650,15717
HYUNDAI,0,0,0,0,6,7,71,567,1652,2236,7891,14371,18302
